Types,Prerequisite,Target
Prerequisite,折線圖-離散型資料,折線圖-連續型資料
Prerequisite,無,未分組資料的算術平均數
Prerequisite,無,已分組資料的算術平均數
Prerequisite,無,未分組資料的中位數
Prerequisite,無,已分組資料的中位數
Prerequisite,無,眾數
Prerequisite,次數分配表,相對次數分配表
Prerequisite,次數分配圖表,相對次數分配圖
Prerequisite,次數分配表,累積次數分配表
Prerequisite,次數分配圖表,累積次數分配圖
Prerequisite,"相對次數分配圖表
累積次數分配圖表",累積相對次數分配圖表
Prerequisite,整數的減法,全距
Prerequisite,分數的乘法,由原始資料求四分位數
Prerequisite,分數的乘法,由統計圖表求四分位數
Prerequisite,數的四則運算(含小數),由原始資料求四分位距
Prerequisite,數的四則運算(含小數),由統計圖表求四分位距
Prerequisite,無,畫盒狀圖
Prerequisite,無,判讀單一盒狀圖
Prerequisite,判讀單一盒狀圖,判讀兩個以上的盒狀圖
Prerequisite,無,判斷機會均等的機率
Prerequisite,無,某事件發生的機率
Prerequisite,某事件發生的機率,利用樹狀圖求機率
Prerequisite,某事件發生的機率,利用圖表求機率
